
TestCase 	2020.10.22 16:19:41:	 sqlQueryTests.tests.GetChromeFirefoxTests
INFO	2020.10.22 16:19:41  sqlQueryTests.tests.GetChromeFirefoxTests:	Result of getAllProjectsWithUniqueTestsAmount query:
Nexage | 105
Brand Alley | 14
Bercut | 37
Megafon | 32
Envisia | 12
Iota | 64

TestCase 	2020.10.22 16:19:41:	 sqlQueryTests.tests.GetChromeFirefoxTests
INFO	2020.10.22 16:19:41  sqlQueryTests.tests.GetChromeFirefoxTests:	Result of getMinTimeOfEveryTest query:
Megafon | KS-2569 AVP verify that campaign and ad cards can be viewed | 140
Megafon | KS-2571 AVP verify that actions can be performed when status is To Verify | 274
Megafon | KS-3696 Ad server new campaign verify that creative and tag can be deleted | 396
Megafon | KS-3955 Ad Server new campaign Position verify that positions and sites can be selected | 882
Megafon | KS-4061 Verify that tags associated via SelfServe Placement are displayed in PSS | 658
Megafon | KS-4159 Ad Server Custom Targeting verify that custom targeting group can be added | 347
Megafon | KS-4168 Ad Server OS and Devices verify that specific devices can be targeted or not targeted | 528
Megafon | KS-4322 Verify that Seller can be changed in impersonate drop-down | 722
Megafon | KS-4353 Verify that Connect Partner can be saved with required fields | 149
Megafon | KS-4359 PSS verify that Publisher Bidder Group can be created by Sellers admin and manager | 969
Megafon | KS-4475 PSS Verify that its possible to create an app site Android App | 293
Megafon | KS-4531 Verify that Interstitial Image and Video placement can be added from Applications and Sites grid | 250
Megafon | KS-4640 Verify that account can be edited and password can be changed | 481
Megafon | KS-4658 Settings Verify that Block Group can be created by Sellers admin | 148
Megafon | KS-4675 Settings Verify that Publisher Bidder Group can be edited by Seller admin and manager | 0
Megafon | KS-4905 Impersonate PSS App Placement Overview toolbar is displayed correctly | 502
Megafon | KS-4939 Impersonate PSS New House Campaign verify that Name and Pricing section can be filled in | 357
Megafon | KS-5294 PSS Campaign Direct Campaign data in all sections can be saved by Next Back buttons | 537
Megafon | KS-5361 PSS Campaign Targeting verify that iOS specific devices can be saved | 204
Megafon | KS-5409 PSS Campagin Status verify that running campaign can be edited | 657
Megafon | KS-5439 PSS Campaigns Targeting verify that campaign can be saved with Carriers only option and all carriers | 139
Megafon | KS-5653 Verify that Medium Rectangle placement can be added from Applications and Sites grid | 210
Megafon | KS-5694 Sellers: Position Setup: add and edit position with Interstitial type | 310
